name,email,niche,city,country,instagram,website,contactperson,contactrole
Ultra Padel Club,customerdelight@ultraclub.me,padel-club,Miami,US,@ultraclubofficial,ultrapadelclub.com,,manager
Sunset Padel,info@sunsetpadel.com,padel-club,Miami Beach,US,@sunsetpadel,sunsetpadel.com,,owner
Reserve Padel,,padel-club,Miami,US,@reservepadel,reservepadel.com,,manager
Padel Point Miami,,padel-club,Miami Beach,US,@padelpointmiami,padelpointmiami.com,,owner
Real Padel Miami,,padel-club,Miami,US,@realpadelmiami,realpadelmiami.com,,owner
Platinum Padel Club,,padel-club,North Miami,US,,platinumpadelclub.com,,owner
Pulse Padel Hub,,padel-club,North Miami,US,@pulsepadelhub,pulsepadelhub.com,,owner
i95 Padel Club,,padel-club,Miami,US,@i95padel,i95padel.com,,owner
Padel Haus (Brooklyn + Nashville),,padel-club,Brooklyn,US,@padelhaus,padelhaus.com,,HQ — Trends Breakout brand
P1 Padel USA,,padel-club,New York,US,,p1padel.com,,US expansion lead — Trends Breakout
CrossFit Southie,info@crossfitsouthie.com,hyrox-gym,Boston,US,@crossfitsouthie,crossfitsouthie.com,,owner
EastieFit,javy@geteastiefit.com,hyrox-gym,Boston,US,@geteastiefit,geteastiefit.com,Javy,owner
CrossFit MPH,coach@crossfitmph.com,hyrox-gym,Washington DC,US,@crossfitmph,crossfitmph.com,,head coach
Old City CrossFit,admin@oldcitycrossfit.com,hyrox-gym,Washington DC,US,@oldcitycrossfit,oldcitycrossfit.com,,owner
Second Wind Training,info@secondwindtraining.com,hyrox-gym,Washington DC,US,@secondwindcrossfit,secondwindtraining.com,,owner
CrossFit DC,,hyrox-gym,Washington DC,US,@crossfitdc,crossfitdc.com,,owner
CrossFit Hierarchy,,hyrox-gym,Washington DC,US,@hierarchy_performance,crossfithierarchy.com,,owner
CrossFit Invictus DC,,hyrox-gym,Washington DC,US,@invictuswashingtondc,invictuswashingtondc.com,,owner
Summit Fitness Chicago,info@summitfitnesschicago.com,hyrox-gym,Chicago,US,@summitfitnesschicago,summitfitnesschicago.com,,owner
Jaguar Strength & Conditioning,matt@jaguarstrengthchi.com,hyrox-gym,Chicago,US,@jaguarstrength_chi,jaguarstrengthchi.com,Matt,owner
South Loop Strength & Conditioning,info@southloopsc.com,hyrox-gym,Chicago,US,@southloopsc,southloopsc.com,,owner
Feast Fitness,info@feast-fitness.com,hyrox-gym,Chicago,US,@feast_fitness,feast-fitness.com,,owner
Windy City Strength & Conditioning,info@windycitysc.com,hyrox-gym,Chicago,US,@windycitysc,windycitysc.com,,owner
Chicago Strength (2 locations),support@chicagostrength.com,hyrox-gym,Chicago,US,@chicago_strength,chicagostrength.com,,owner
CrossFit Six Points,,hyrox-gym,Chicago,US,@crossfitsixpoints,crossfitsixpoints.com,,owner
Chicago Elite Fitness / Bucktown CrossFit,,hyrox-gym,Chicago,US,@chicagoelitefitness,chicagoelitefitness.com,,owner
D-Town CrossFit,info@dtowncrossfit.com,hyrox-gym,Dallas,US,@dtowncrossfit,dtowncrossfit.com,,owner
CrossFit Obsidian,ashley@crossfitobsidian.com,hyrox-gym,Montgomery TX,US,,crossfitobsidian.com,Ashley,owner
