name,email,niche,city,country,instagram,website,contactperson,contactrole
Crossfit Hofplein,central@crossfithofplein.com,hyrox-gym,Rotterdam,NL,@crossfithofplein,crossfithofplein.com,,owner
ON AIR FITNESS Paris 13 BNF,paris13bnf@onair-fitness.fr,hyrox-gym,Paris,FR,@onairfitness_paris13bnf,onair-fitness.fr,,manager
Cercles De La Forme,contact@lescerclesdelaforme.com,hyrox-gym,Paris,FR,@cerclesdelaforme,cerclesdelaforme.com,,owner
Swedish Fit Chaudron,welcome@swedishfit.com,hyrox-gym,Paris,FR,@swedishfit,swedishfit.fr,,owner
Fit Room by JoanaB,contact@joanabfitness.com,hyrox-gym,Paris,FR,@joanabfitness,joanabfitness.com,,owner
Re-Corps,contact@re-corps.com,hyrox-gym,Paris,FR,@recorpsparis,re-corps.com,,owner
Front De Seine,beaugrenelle@frontdeseine.net,hyrox-gym,Paris,FR,@frontdeseine,frontdeseine.net,,owner
My Fitness Studio,,hyrox-gym,Paris,FR,@myfitnessstudioparis,myfitness-studio.com,,owner
Circle Movement,contact@circle-movement.com,hyrox-gym,Paris,FR,@circle.movement,circle-movement.com,,owner
CrossFit Diagonal Barcelona,,hyrox-gym,Barcelona,ES,@crossfitdiagonal,crossfit-diagonal.com,,owner
HOW Barcelona (CrossFit PobleNou),info@howbarcelona.com,hyrox-gym,Barcelona,ES,@how.barcelona,howbarcelona.com,,owner
Alpha Link CrossFit,info@alphalinkcrossfit.com,hyrox-gym,Barcelona,ES,@alphalinkcrossfit,alphalinkcrossfit.com,,owner
CrossFit Eixample,info@crossfiteixample.com,hyrox-gym,Barcelona,ES,@crossfiteixample,crossfiteixample.com,,owner
The Hall Crossfit,info@thehallcrossfit.es,hyrox-gym,Barcelona,ES,@thehallcrossfit,thehallcrossfit.es,,owner
Fabrik Training Club,,hyrox-gym,Barcelona,ES,@jxrgeherrera,fabriktrainingclub.com,Jorge Herrera,owner
360 Functional Fitness,info@360functionalfitness.se,hyrox-gym,Malmö,SE,@360functional_fitness,360functionalfitness.se,,owner
Toughest LAB,lab@toughest.se,hyrox-gym,Malmö,SE,@toughestrace,toughest.se,,owner
Brave Fitness Studio,,hyrox-gym,Malmö,SE,@bravefitnessmalmo,bravefitnessmalmo.com,,owner
Formstark Lund,info@formstarklund.se,hyrox-gym,Lund,SE,@formstarklund,formstarklund.se,,owner
Solid Gym Lund,kardumsebastian@gmail.com,hyrox-gym,Lund,SE,@solidgymlund,solidgymlund.com,Sebastian Kardum,owner
Gothenburg Functional Fitness,ordf@gothenburgfunctionalfitness.se,hyrox-gym,Gothenburg,SE,@gothenburgfunctionalfitness,gothenburgfunctionalfitness.se,,chair
Functional Health,,hyrox-gym,Gothenburg,SE,,functionalhealth.se,,owner
Seminoff Sports & Rehab,info@seminoff.se,hyrox-gym,Hindås,SE,@seminoff,seminoff.se,,owner
FNF Functional Fitness,info@fnf.life,hyrox-gym,Helsingborg,SE,@fnf.life,fnf.life,,owner
IGNITE FIT,info@ignite.fit,hyrox-gym,Berlin,DE,@ignite.fit.berlin,ignite.fit,,owner
Padelclub Rotterdam (3 venues),info@padelclubrotterdam.nl,padel-club,Rotterdam,NL,@padelclubrotterdam,padelclubrotterdam.nl,,owner
Padel City Fletcher Airport,,padel-club,Rotterdam,NL,,padelcity-rotterdam.nl,,owner
Peakz Padel (3 Amsterdam venues),info@peakzpadel.nl,padel-club,Amsterdam,NL,@peakzpadel,peakzpadel.nl,,owner
The Padellers (24-location chain),info@thepadellers.nl,padel-club,Amsterdam,NL,@thepadellers,thepadellers.nl,,HQ
Club de Padel Festival,info@clubdepadel.nl,padel-club,Amsterdam,NL,,clubdepadel.nl,,owner
B. amsterdam padel,padel@b-buildingbusiness.com,padel-club,Amsterdam,NL,,b-amsterdam-padel.nl,,owner
Padel NEXT,info@padelnext.nl,padel-club,Amsterdam,NL,@padelnext,padelnext.nl,Friso,owner
Plaza Padel Amsterdam,amsterdam@plazapadel.com,padel-club,Amsterdam,NL,@plazapadel,plazapadel.com,,manager
Rocket Padel Battersea,uk@rocketpadel.com,padel-club,London,GB,@rocketpadel,rocketpadel.com,,UK lead
Padel Social Club (3 London venues),info@padelsocial.club,padel-club,London,GB,@padelsocialclub,padelsocial.club,,owner
The Padel Yard,general@thepadelyard.com,padel-club,London,GB,,thepadelyard.com,,owner
Stratford Padel Club,info@stratfordpadelclub.org,padel-club,London,GB,@stratfordpadel,stratfordpadelclub.org,,owner
Padel Box Bermondsey,hello@padelbox.club,padel-club,London,GB,@padelboxbermondsey,padelbox.club,,owner
Primo Padel Club,,padel-club,London,GB,@primopadelclubuk,primopadelclub.co.uk,,owner
BE LUCKY PADEL CLUB,,padel-club,London,GB,,beluckypadelclub.com,,owner
London Sports Festival Padel,hello@centrallondonalliance.com,padel-club,London,GB,@londonsportsfestival,londonsportsfestival.com,,event organizer
Padel Training Barcelona,padeltrainingbarcelona@gmail.com,padel-club,Viladecans,ES,@padeltrainingbarcelona,padeltrainingbarcelona.com,Guille Closa,owner
Pàdel Tibidabo,info@padeltibidabo.com,padel-club,Barcelona,ES,@padeltibidabo,padeltibidabo.com,,owner
Pàdel Barcelona - El Prat,info@padelbarcelonaelprat.com,padel-club,El Prat de Llobregat,ES,@padelbcnelprat,padelbarcelonaelprat.com,,owner
Padel Plus Academy,contacto@padelplusacademy.es,padel-club,Barcelona,ES,@padel.plus.academy,padelplusacademy.es,,owner
Barcelona Padel Hub,,padel-club,Cornellà de Llobregat,ES,@barcelonapadelhub,,,owner
Bela Padel Center,info.bcn@belapadelcenter.com,padel-club,Barcelona,ES,,belapadelcenter.com,,manager
Fairplay Padel Club,padel@fairplaypadel.com,padel-club,Barcelona,ES,@fairplaypadelbarcelona,fairplaypadel.com,,owner
Real Club de Tennis Barcelona,,padel-club,Barcelona,ES,,rctb1899.es,,club manager
Padel School Barcelona,,padel-club,L'Hospitalet,ES,,padelschoolbarcelona.com,,owner
Vital Pádel Villaverde,info@vitalpadel.es,padel-club,Madrid,ES,@clubvitalpadel,vitalpadel.es,,owner
Padel Club Usera,padelusera@gmail.com,padel-club,Madrid,ES,@padelusera,padelusera.com,,owner
Santo Pádel Madrid,,padel-club,Madrid,ES,@santopadelmadrid,,,owner
Club de Padel IberiaMart,padel@iberiamart.es,padel-club,Madrid,ES,,iberiamart.es,,owner
Madrid Central Padel,recepcion@madridcentralpadel.com,padel-club,Madrid,ES,@madridcentralpadel,madridcentralpadel.com,,owner
Indie Padel Club,info@indiepadelclub.es,padel-club,Madrid,ES,@indiepadelclub,indiepadelclub.es,,owner
PadelSpirit Club,info@padelspiritclub.es,padel-club,Madrid,ES,@padelspiritclub,padelspiritclub.es,,owner
School Padel Center,,padel-club,Madrid,ES,,m30.lavidapadel.com,,owner
Östermalms Padel,info@ostermalmspadel.se,padel-club,Stockholm,SE,,ostermalmspadel.se,,owner
Padel Zenter,office@padelzenter.se,padel-club,Sollentuna,SE,@padelzenter,padelzenter.se,,owner
Cave Padel,info@cavepadel.se,padel-club,Stockholm,SE,@cavepadel,cavepadel.se,,owner
NK Padel & Social by ASCARO,play@ascaropadel.com,padel-club,Stockholm,SE,@ascaropadel,ascaropadel.com,,owner
Padel Royale,padelroyale@nilima.se,padel-club,Bromma,SE,,court22.com,,owner
PDL Center,,padel-club,Stockholm,SE,@pdlcenter,nilima.se,,owner
Kai reformer pilates,,reformer-studio,Munich,DE,@kai_munich.co,kaireformerpilates.com,,owner
The Good Gym — Reformer For Her,reformer@thegoodgym.de,reformer-studio,Munich,DE,@reformer_for_her,thegoodgym-reformer.com,,owner
MUNIK reformer studio,info@munikpilates.de,reformer-studio,Munich,DE,@munik.pilates,munikpilates.de,,owner
PURITÉ Reformer Pilates,info@p4bavaria.de,reformer-studio,Munich,DE,@puritepilates,puritepilates.de,,owner
reformer balance,mail@reformerbalance.de,reformer-studio,Munich,DE,@reformer.balance,reformerbalance.de,,owner
Athletic Reformer — selda pilates35,info@seldapilates35.de,reformer-studio,Munich,DE,@seldapilates35_muc,seldapilates35.de,Selda,owner
Pilatesbee,info@pilatesbee.de,reformer-studio,Munich,DE,,pilatesbee.de,,owner
The Reformer Studio,info@the-reformer-studio.de,reformer-studio,Munich,DE,,the-reformer-studio.de,,owner
Bluebird Pilates Munich,,reformer-studio,Munich,DE,,bluebirdpilates.com,,owner
Studio Lagree Munich,info@studiolagree.com,reformer-studio,Munich,DE,@studiolagree,studiolagree.de,,owner
Reformer Club Haidhausen,train@reformer-club.com,reformer-studio,Munich,DE,@reformer.club,reformer-club.com,,owner
YTTP Reformer (2 Köln studios),info@yttp.de,reformer-studio,Cologne,DE,@yttp.official,yttp.de,Anna,owner
MY Pilates Studio,info@my-pilates.cologne,reformer-studio,Cologne,DE,@mariambasipilates,my-pilates.cologne,Mariam,owner
